nome,link,scontato,prezzo,genere,categoria,mat1,mat2,colore1,colore2,id_prodotto,differenza_prezzo
Décolleté donna slingback in pelle nero e1690,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nero-e1690-e1690-246469.html,134.91,149.9,Donna,Dècolletè,pelle,,nero,,e1690,14.990000000000009
Décolleté donna cinturino incrociato in tessuto galassia platino e1631zv,https://www.melluso.com/it/decollete-donna-cinturino-incrociato-in-tessuto-galassia-platino-e1631zv-e1631zv-247203.html,143.91,159.9,Donna,Dècolletè,tessut,,platino,,e1631zv,15.990000000000009
Décolleté donna slingback in pelle blu abyss d165zv,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-blu-abyss-d165zv-d165zv-247710.html,134.91,149.9,Donna,Dècolletè,pelle,,blu,,d165zv,14.990000000000009
Décolleté donna slingback in pelle wash abyss d166z,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-wash-abyss-d166z-d166z-244995.html,125.91,139.9,Donna,Dècolletè,pelle,,,,d166z,13.990000000000009
Décolleté donna in pelle nude e1301z,https://www.melluso.com/it/decollete-donna-in-pelle-nude-e1301z-e1301z-247449.html,125.91,139.9,Donna,Dècolletè,pelle,,nude,,e1301z,13.990000000000009
Décolleté donna slingback in tessuto argento d188,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-argento-d188-d188-246084.html,134.91,149.9,Donna,Dècolletè,tessut,,argento,,d188,14.990000000000009
Décolleté donna slingback in pelle milk e1634zv,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-milk-e1634zv-e1634zv-247192.html,143.91,159.9,Donna,Dècolletè,pelle,,,,e1634zv,15.990000000000009
Décolleté donna slingback in pelle platino d192,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-platino-d192-d192-244193.html,134.91,149.9,Donna,Dècolletè,pelle,,platino,,d192,14.990000000000009
Décolleté donna aperto ai lati in tessuto galassia argento e1630zv,https://www.melluso.com/it/decollete-donna-aperto-ai-lati-in-tessuto-galassia-argento-e1630zv-e1630zv-249083.html,143.91,159.9,Donna,Dècolletè,tessut,,argento,,e1630zv,15.990000000000009
Décolleté donna aperto ai lati in tessuto galassia platino e1630zv,https://www.melluso.com/it/decollete-donna-aperto-ai-lati-in-tessuto-galassia-platino-e1630zv-e1630zv-249084.html,143.91,159.9,Donna,Dècolletè,tessut,,platino,,e1630zv,15.990000000000009
Décolleté donna aperto ai lati in tessuto galassia notte e1630zv,https://www.melluso.com/it/decollete-donna-aperto-ai-lati-in-tessuto-galassia-notte-e1630zv-e1630zv-249105.html,143.91,159.9,Donna,Dècolletè,tessut,,,,e1630zv,15.990000000000009
Décolleté donna aperto ai lati in tessuto galassia phard e1630zv,https://www.melluso.com/it/decollete-donna-aperto-ai-lati-in-tessuto-galassia-phard-e1630zv-e1630zv-249106.html,143.91,159.9,Donna,Dècolletè,tessut,,,,e1630zv,15.990000000000009
Dècolletè donna comodo in pelle nude r30611z,https://www.melluso.com/it/decollete-donna-comodo-in-pelle-nude-r30611z-r30611z-245999.html,100.0,125.0,Donna,Dècolletè,pelle,,nude,,r30611z,25.0
Décolleté donna slingback in pelle argento d165z,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-argento-d165z-d165zv-249141.html,134.91,149.9,Donna,Dècolletè,pelle,,argento,,d165z,14.990000000000009
Décolleté donna in pelle nero d175z,https://www.melluso.com/it/decollete-donna-in-pelle-blu-abyss-d175z-d175z-245724.html,125.91,139.9,Donna,Dècolletè,pelle,,nero,,d175z,13.990000000000009
Décolleté donna slingback in tessuto galassia argento d180z,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-galassia-argento-d180z-d180z-245403.html,125.91,139.9,Donna,Dècolletè,tessut,,argento,,d180z,13.990000000000009
Décolleté donna slingback in tessuto galassia platino d180z,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-galassia-platino-d180z-d180z-245404.html,125.91,139.9,Donna,Dècolletè,tessut,,platino,,d180z,13.990000000000009
Décolleté slingback donna in pelle e nylon nero e1852,https://www.melluso.com/it/decollete-slingback-donna-in-pelle-e-nylon-nero-e1852-e1852-248022.html,127.92,159.9,Donna,Dècolletè,pelle,,nero,,e1852,31.980000000000004
Dècolletè donna comodo in pelle nero r30611z,https://www.melluso.com/it/decollete-donna-comodo-in-pelle-nero-r30611z-r30611z-244832.html,100.0,125.0,Donna,Dècolletè,pelle,,nero,,r30611z,25.0
Décolleté donna slingback in tessuto rafia v311,https://www.melluso.com/it/decollete-donna-slingback-in-tessuto-rafia-v311-v311-243766.html,107.93,149.9,Donna,Dècolletè,tessut,,,,v311,41.97
Décolleté donna in pelle blu abyss d106z,https://www.melluso.com/it/decollete-donna-in-pelle-blu-abyss-d106z-d106z-249131.html,116.91,129.9,Donna,Dècolletè,pelle,,blu,,d106z,12.990000000000009
Dècolletè donna con cinturino in pelle milk d156z,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-milk-d156z-d156z-244988.html,116.91,129.9,Donna,Dècolletè,pelle,,,,d156z,12.990000000000009
Dècolletè donna con cinturino in pelle nero d156z,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-nero-d156z-d156z-244991.html,116.91,129.9,Donna,Dècolletè,pelle,,nero,,d156z,12.990000000000009
Dècolletè donna con cinturino in pelle platino d156z,https://www.melluso.com/it/decollete-donna-con-cinturino-in-pelle-platino-d156z-d156z-246041.html,116.91,129.9,Donna,Dècolletè,pelle,,platino,,d156z,12.990000000000009
