titolo,prezzo_originale,prezzo_scontato,immagine,link,colore_codice,categoria,genere
Sneakers Donna in Pelle,"300,00 €",,https://nerogiardini.it/media/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513110D_707_02.jpg,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e513110d,19,sneakers,donna
Sneakers Donna in Suede e Pelle,"90,50 €","129,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513004D_203_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-suede-e-pelle-25p-e513004d,195,sneakers,donna
"Sneakers Donna in Suede, Tela e Pelle","119,50 €","149,50 € (20%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409872D_623_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-suede-tela-e-pelle-25p-e409872d,196,sneakers,donna
Sneakers Donna in Pelle e Suede,"104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E409992D_437_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-e-suede-25p-e409992d,196,sneakers,donna
Sneakers Donna in Pelle e Suede,"97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512855D_623_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-e-suede-25p-e512855d,196,sneakers,donna
"Sneakers Donna in Suede, Tela e Materiale Tecnico","111,50 €","159,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512860D_623_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-suede-tela-e-materiale-tecnico-25p-e512860d,196,sneakers,donna
Sneakers Donna in Pelle e Suede,"101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513040D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-e-suede-25p-e513040d,196,sneakers,donna
Sabot Donna in Pelle,"90,50 €","129,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E218210D_100_02_jpg.webp,https://nerogiardini.it/it/sabot-donna-in-pelle-25p-e218210d,5,ciabatte-e-sabot,donna
Ciabatte Donna in Pelle,"87,50 €","125,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513300D_100_02_jpg.webp,https://nerogiardini.it/it/25p-e513300d,5,ciabatte-e-sabot,donna
Ciabatte Donna in Pelle,"76,50 €","109,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513514D_100_02_jpg.webp,https://nerogiardini.it/it/25p-e513514d,5,ciabatte-e-sabot,donna
Ciabatte Donna in Pelle,"83,50 €","119,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513700D_100_02_jpg.webp,https://nerogiardini.it/it/25p-e513700d,5,ciabatte-e-sabot,donna
